
2024/11/07 (13:46:16) | ===> btop++ v.1.2.3
2024/11/07 (13:46:16) | ERROR: Exception in main loop -> filesystem error: directory iterator cannot open directory: No such file or directory [/home/bilalshafi/.config/btop/themes]

2024/11/25 (14:41:34) | ===> btop++ v.1.2.3
2024/11/25 (14:41:34) | INFO: Logger set to DEBUG
2024/11/25 (14:41:34) | INFO: Logger set to INFO
2024/11/27 (11:41:28) | INFO: Quitting! Runtime: 2d 00:37:18

2024/11/27 (11:41:35) | ===> btop++ v.1.2.3
2024/11/27 (11:41:35) | INFO: Logger set to INFO
2024/11/27 (11:41:35) | INFO: Running on /dev/pts/2
